# timestamp_sec,line
1778011829.074363,I (528320) mpu6050 stream: AX:0.242 AY:-0.149 AZ:1.045 | GX:-2.565 GY:1.160 GZ:-0.305 | T:30.46 C
1778011829.076798,I (529320) mpu6050 stream: AX:0.251 AY:-0.142 AZ:1.020 | GX:-1.863 GY:2.794 GZ:2.046 | T:30.41 C
1778011829.078716,I (530320) mpu6050 stream: AX:0.239 AY:-0.130 AZ:1.031 | GX:-1.618 GY:2.366 GZ:1.740 | T:30.60 C
1778011829.084109,I (531320) mpu6050 stream: AX:0.257 AY:-0.134 AZ:1.026 | GX:-4.565 GY:2.534 GZ:0.962 | T:30.55 C
1778011829.085869,I (532320) mpu6050 stream: AX:0.281 AY:-0.124 AZ:1.026 | GX:-6.947 GY:1.771 GZ:-1.420 | T:30.55 C
1778011829.087514,I (533320) mpu6050 stream: AX:0.278 AY:-0.134 AZ:1.033 | GX:-5.298 GY:0.962 GZ:0.076 | T:30.65 C
1778011829.089145,I (534320) mpu6050 stream: AX:0.281 AY:-0.140 AZ:1.023 | GX:1.420 GY:-5.130 GZ:-4.397 | T:30.65 C
1778011829.090808,I (535320) mpu6050 stream: AX:0.346 AY:-0.080 AZ:1.023 | GX:-0.489 GY:-0.977 GZ:-2.107 | T:30.65 C
1778011829.092692,I (536320) mpu6050 stream: AX:0.348 AY:-0.094 AZ:1.000 | GX:-5.069 GY:3.237 GZ:1.008 | T:30.60 C
1778011829.094861,I (537320) mpu6050 stream: AX:0.317 AY:-0.114 AZ:1.010 | GX:-1.847 GY:-0.046 GZ:-2.855 | T:30.60 C
1778011829.096805,I (538320) mpu6050 stream: AX:0.315 AY:-0.122 AZ:1.026 | GX:-3.130 GY:2.031 GZ:-0.412 | T:30.60 C
1778011829.098535,I (539320) mpu6050 stream: AX:0.324 AY:-0.118 AZ:1.010 | GX:-3.756 GY:0.504 GZ:0.107 | T:30.51 C
1778011829.100241,I (540320) mpu6050 stream: AX:0.326 AY:-0.127 AZ:1.031 | GX:-3.679 GY:1.237 GZ:-0.855 | T:30.55 C
1778011829.102245,I (541320) mpu6050 stream: AX:0.353 AY:-0.115 AZ:1.013 | GX:-4.168 GY:1.664 GZ:-0.489 | T:30.65 C
1778011829.103979,I (542320) mpu6050 stream: AX:0.323 AY:-0.110 AZ:1.024 | GX:-3.740 GY:1.481 GZ:3.786 | T:30.65 C
1778011829.106532,I (543320) mpu6050 stream: AX:0.308 AY:-0.126 AZ:1.028 | GX:-5.053 GY:0.840 GZ:0.901 | T:30.55 C
1778011829.108299,I (544320) mpu6050 stream: AX:0.317 AY:-0.129 AZ:1.039 | GX:-4.641 GY:2.611 GZ:0.061 | T:30.60 C
1778011829.110069,I (545320) mpu6050 stream: AX:0.310 AY:-0.133 AZ:1.002 | GX:-4.244 GY:0.947 GZ:0.763 | T:30.60 C
1778011829.111714,I (546320) mpu6050 stream: AX:0.330 AY:-0.150 AZ:1.034 | GX:-5.863 GY:3.328 GZ:0.275 | T:30.60 C
1778011829.113393,I (547320) mpu6050 stream: AX:0.291 AY:-0.171 AZ:1.054 | GX:-7.786 GY:5.863 GZ:2.534 | T:30.84 C
1778011829.115068,I (548320) mpu6050 stream: AX:0.304 AY:-0.171 AZ:0.999 | GX:-3.420 GY:2.443 GZ:0.794 | T:30.65 C
1778011829.122619,I (549320) mpu6050 stream: AX:0.290 AY:-0.163 AZ:1.020 | GX:-3.557 GY:5.618 GZ:2.351 | T:30.74 C
1778011829.124391,I (550320) mpu6050 stream: AX:0.286 AY:-0.182 AZ:1.022 | GX:-4.229 GY:1.191 GZ:-0.473 | T:30.74 C
1778011829.126216,I (551320) mpu6050 stream: AX:0.296 AY:-0.189 AZ:1.041 | GX:-5.115 GY:3.038 GZ:0.824 | T:30.74 C
1778011829.127935,I (552320) mpu6050 stream: AX:0.277 AY:-0.206 AZ:1.023 | GX:-2.412 GY:2.244 GZ:0.061 | T:30.74 C
1778011829.129589,I (553320) mpu6050 stream: AX:0.291 AY:-0.211 AZ:1.018 | GX:-3.771 GY:1.603 GZ:0.779 | T:30.74 C
1778011829.131359,I (554320) mpu6050 stream: AX:0.281 AY:-0.207 AZ:1.025 | GX:-2.595 GY:2.290 GZ:-1.527 | T:30.69 C
1778011829.133445,I (555320) mpu6050 stream: AX:0.295 AY:-0.202 AZ:1.008 | GX:-5.389 GY:0.824 GZ:0.382 | T:30.69 C
1778011829.135463,I (556320) mpu6050 stream: AX:0.302 AY:-0.209 AZ:1.020 | GX:-3.664 GY:1.908 GZ:0.626 | T:30.65 C
1778011829.137171,I (557320) mpu6050 stream: AX:0.264 AY:-0.200 AZ:0.988 | GX:-1.954 GY:5.145 GZ:3.420 | T:30.79 C
1778011829.138898,I (558320) mpu6050 stream: AX:0.270 AY:-0.204 AZ:1.010 | GX:-4.718 GY:1.023 GZ:-0.061 | T:30.84 C
1778011829.140564,I (559320) mpu6050 stream: AX:0.281 AY:-0.216 AZ:1.031 | GX:-2.947 GY:1.695 GZ:1.389 | T:30.88 C
1778011829.142235,I (560320) mpu6050 stream: AX:0.276 AY:-0.205 AZ:1.018 | GX:-5.053 GY:3.008 GZ:-0.275 | T:30.79 C
1778011829.144043,I (561320) mpu6050 stream: AX:0.281 AY:-0.234 AZ:1.056 | GX:-1.725 GY:-0.565 GZ:-0.992 | T:30.84 C
1778011829.145660,I (562320) mpu6050 stream: AX:0.302 AY:-0.220 AZ:1.004 | GX:-4.244 GY:1.481 GZ:0.748 | T:30.84 C
1778011829.147741,I (563320) mpu6050 stream: AX:0.281 AY:-0.209 AZ:1.013 | GX:-0.870 GY:4.473 GZ:-3.832 | T:30.88 C
1778011829.149534,I (564320) mpu6050 stream: AX:0.289 AY:-0.177 AZ:0.997 | GX:-3.908 GY:1.634 GZ:4.107 | T:30.88 C
1778011829.151209,I (565320) mpu6050 stream: AX:0.287 AY:-0.171 AZ:1.014 | GX:-3.435 GY:-1.725 GZ:-0.824 | T:30.93 C
1778011829.153232,I (566320) mpu6050 stream: AX:0.363 AY:-0.162 AZ:0.990 | GX:-2.229 GY:2.366 GZ:1.252 | T:30.84 C
1778011829.159392,I (567320) mpu6050 stream: AX:0.309 AY:-0.200 AZ:0.983 | GX:-2.611 GY:-0.641 GZ:-3.802 | T:30.79 C
1778011829.161120,I (568320) mpu6050 stream: AX:0.311 AY:-0.186 AZ:0.994 | GX:-6.473 GY:0.809 GZ:4.000 | T:30.84 C
1778011829.162811,I (569320) mpu6050 stream: AX:0.268 AY:-0.234 AZ:0.992 | GX:-5.237 GY:3.618 GZ:-1.053 | T:30.93 C
1778011829.164596,I (570320) mpu6050 stream: AX:0.332 AY:-0.231 AZ:1.007 | GX:-4.046 GY:1.618 GZ:0.809 | T:30.84 C
1778011829.166715,I (571320) mpu6050 stream: AX:0.328 AY:-0.232 AZ:1.002 | GX:-3.786 GY:1.282 GZ:-0.122 | T:30.88 C
1778011829.168372,I (572320) mpu6050 stream: AX:0.329 AY:-0.251 AZ:1.004 | GX:-4.061 GY:1.389 GZ:-0.794 | T:30.93 C
1778011829.169984,I (573320) mpu6050 stream: AX:0.330 AY:-0.236 AZ:0.987 | GX:-4.198 GY:0.855 GZ:0.565 | T:30.98 C
1778011829.171604,I (574320) mpu6050 stream: AX:0.321 AY:-0.246 AZ:1.002 | GX:-3.145 GY:1.115 GZ:-0.260 | T:30.84 C
1778011829.173707,I (575320) mpu6050 stream: AX:0.335 AY:-0.240 AZ:0.999 | GX:-4.031 GY:1.985 GZ:0.321 | T:30.93 C
1778011829.175388,I (576320) mpu6050 stream: AX:0.325 AY:-0.238 AZ:0.978 | GX:-4.305 GY:2.626 GZ:0.550 | T:30.84 C
1778011829.177192,I (577320) mpu6050 stream: AX:0.332 AY:-0.242 AZ:0.987 | GX:-3.435 GY:0.931 GZ:1.878 | T:30.88 C
1778011829.178869,I (578320) mpu6050 stream: AX:0.355 AY:-0.169 AZ:0.964 | GX:8.031 GY:-8.290 GZ:-18.489 | T:30.88 C
1778011829.180567,I (579320) mpu6050 stream: AX:0.582 AY:-0.158 AZ:1.026 | GX:-10.427 GY:32.641 GZ:-1.084 | T:31.02 C
1778011829.182233,I (580320) mpu6050 stream: AX:0.241 AY:-0.116 AZ:1.041 | GX:5.237 GY:24.168 GZ:17.542 | T:30.93 C
1778011829.183880,I (581320) mpu6050 stream: AX:0.288 AY:-0.057 AZ:1.004 | GX:0.046 GY:-9.481 GZ:-11.802 | T:30.93 C
1778011829.185576,I (582320) mpu6050 stream: AX:0.455 AY:0.010 AZ:1.003 | GX:5.206 GY:-27.817 GZ:-4.412 | T:31.02 C
1778011829.187657,I (583320) mpu6050 stream: AX:0.360 AY:-0.191 AZ:1.005 | GX:4.855 GY:4.351 GZ:3.130 | T:30.84 C
1778011829.189531,I (584320) mpu6050 stream: AX:0.257 AY:0.095 AZ:1.049 | GX:5.939 GY:-6.122 GZ:-8.840 | T:30.88 C
1778011829.191551,I (585320) mpu6050 stream: AX:0.241 AY:-0.072 AZ:1.022 | GX:-7.496 GY:-3.649 GZ:14.214 | T:30.98 C
1778011829.483316,I (586320) mpu6050 stream: AX:0.217 AY:-0.454 AZ:0.867 | GX:-89.557 GY:-31.511 GZ:53.725 | T:31.07 C
1778011830.482087,I (587320) mpu6050 stream: AX:0.090 AY:-0.967 AZ:0.233 | GX:-15.359 GY:4.519 GZ:1.725 | T:30.98 C
1778011831.481542,I (588320) mpu6050 stream: AX:0.156 AY:-0.965 AZ:0.315 | GX:-5.573 GY:2.412 GZ:4.840 | T:30.98 C
1778011832.483101,I (589320) mpu6050 stream: AX:0.171 AY:-0.992 AZ:0.324 | GX:-4.840 GY:0.031 GZ:1.145 | T:30.88 C
